#router1, port on router1, router2, port on router 2, failure start, failure end
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1334138594.0,1334138599.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1334146030.0,1334146035.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1334146057.0,1334146062.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1334147254.0,1334147259.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1334147296.0,1334147301.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1334153037.0,1334153042.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1334153062.0,1334153067.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1334153098.0,1334153103.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1334153142.0,1334153147.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1334153195.0,1334153200.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1334153250.0,1334153255.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1337291760.0,1337291778.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1337867539.0,1337867540.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1337867549.0,1337867553.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1341568494.0,1341568499.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1341568517.0,1341568523.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1353317658.0,1353317996.0
sol-agg1,GigabitEthernet0/0/9,sol-dc1,GigabitEthernet2/2,1303201715.0,1303201766.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1288251826.0,1288266433.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1292153439.0,1292155004.0
