#router1, port on router1, router2, port on router2, link created on, link
destroyed on
loy-hs,Serial1/0,plu-coe,Serial1/1,1203139599.0,2.53402329599e+11
ela-cc-2,Serial1/0,lax-dc2,Serial3/0:6,1233137784.0,2.53402329599e+11
ah-cc,GigabitEthernet0/1,slo-agg1,GigabitEthernet0/0/9,1287734844.0,2.53402329599e+11
lm-cc-1,GigabitEthernet0/1,svl-agg1,GigabitEthernet0/0/2,1253686262.0,1259683576.0
lm-cc-1,GigabitEthernet0/1,svl-agg1,GigabitEthernet0/0/1,1259697987.0,2.53402329599e+11
oak-core1,TenGigE0/5/0/3,sfo-agg1,GigabitEthernet5/0/0,1349359603.0,2.53402329599e+11
mc-cc,GigabitEthernet0/1,sdg-agg2,GigabitEthernet2/0/2,1215684615.0,2.53402329599e+11
lax-hpr,GigabitEthernet7/0,sac-hpr,GigabitEthernet3/0,1090980154.0,1124258580.0
lax-hpr,GigabitEthernet7/0,sac-hpr,GigabitEthernet3/0,1124445793.0,1129068195.0
fre-agg1,POS7/0,frg-dc2,POS4/0,1197658980.0,1202324582.0
cor-agg1,GigabitEthernet0/0/9,cor-dc1,GigabitEthernet2/1,1208899246.0,1209190474.0
cor-agg1,GigabitEthernet0/0/9,cor-dc1,GigabitEthernet2/1,1209190474.0,1229486699.0
cor-agg1,GigabitEthernet0/0/9,cor-dc1,GigabitEthernet2/1,1229486699.0,1244602914.0
cor-agg1,GigabitEthernet0/0/9,cor-dc1,GigabitEthernet2/1,1244613918.0,1279173607.0
lax-dc2,GigabitEthernet4/0/9,lax-isp2,GigabitEthernet0/0/5,1218103820.0,1218708619.0
com-cc,Serial1/0,lax-dc2,Serial3/0:5,1270887128.0,2.53402329599e+11
pdc-dc1,GigabitEthernet2/0.472,riv-dc1,GigabitEthernet0/3.472,1126807376.0,1225390224.0
lax-dc1,GigabitEthernet0/0/0.29,lax-dc4,FastEthernet0/0,1127354593.0,1211911823.0
riv-agg2,GigabitEthernet0/0/1,riv-core1,GigabitEthernet0/6/0/1,1211341753.0,1216059248.0
riv-agg2,GigabitEthernet0/0/1,riv-core1,GigabitEthernet0/6/0/1,1216059248.0,1219803030.0
riv-agg2,GigabitEthernet0/0/1,riv-core1,GigabitEthernet0/6/0/1,1219803030.0,2.53402329599e+11
cab-cc-1,GigabitEthernet0/1,oak-dc1,GigabitEthernet4/0/8,1226744472.0,2.53402329599e+11
nv-cc,Serial1/0,oak-dc2,Serial5/2:2,1269677246.0,2.53402329599e+11
sb-coe,Serial3/0,sol-agg1,Serial3/0:6,1205949839.0,1220947535.0
sb-coe,GigabitEthernet0/1,sol-agg1,GigabitEthernet0/0/8,1220955032.0,2.53402329599e+11
fb-usd,GigabitEthernet0/1,men-coe,GigabitEthernet3/0,1231841393.0,1283500816.0
mis-cc,Serial2/0,svl-dc2,Serial5/0:2,1269590813.0,1281679571.0
mer-coe,Serial1/0/0,sj-coe,Serial1/0/0,1087747044.0,1195378845.0
mer-coe,Serial1/0,sj-coe,Serial1/0/0,1195378845.0,1197247830.0
mer-coe,Serial1/0,sj-coe,Serial2/0,1197247830.0,1202810764.0
mer-coe,GigabitEthernet0/1,sj-coe,GigabitEthernet0/2,1202810764.0,1266487697.0
cor-agg2,GigabitEthernet0/0/8,cor-agg4,GigabitEthernet0/1,1287065136.0,2.53402329599e+11
lax-core1,TenGigE0/2/0/2,lax-px1,GigabitEthernet0/0/0,1205049855.0,1305871522.0
lax-core1,TenGigE0/3/0/4,lax-px1,GigabitEthernet3/0/0,1305871522.0,1321877170.0
lax-core1,TenGigE0/3/0/4,lax-px1,GigabitEthernet3/0/0,1321877170.0,1327406801.0
lax-core1,TenGigE0/3/0/4,lax-px1,GigabitEthernet3/0/0,1327406801.0,2.53402329599e+11
sf-coe,POS0/1/0,svl-dc1,POS6/1:4,1091088677.0,1099072963.0
sf-coe,GigabitEthernet0/1,svl-dc1,GigabitEthernet2/0/1,1203156310.0,1292587520.0
paix-px1,GigabitEthernet7/0/0,svl-px1,GigabitEthernet2/0/0,1217463489.0,1284429936.0
paix-px1,GigabitEthernet7/0/0,svl-px1,GigabitEthernet2/0/0,1284429936.0,2.53402329599e+11
col-cc,Serial2/0,frg-agg3,Serial3/0,1285812360.0,2.53402329599e+11
but-coe,GigabitEthernet0/1,cor-agg2,GigabitEthernet0/0/7,1213721813.0,2.53402329599e+11
ela-cc-1,GigabitEthernet0/1,tus-agg1,GigabitEthernet4/0/3,1230066667.0,2.53402329599e+11
cor-dc1,Serial4/0:2,las-coe,Serial1/0/0,1087747044.0,1193817971.0
cor-dc1,Serial4/0:2,las-coe,Serial1/0/0,1193904376.0,1195217087.0
cor-dc1,Serial4/0:2,las-coe,Serial1/0,1195217087.0,1213721896.0
lax-core2,TenGigE0/2/0/1,lax-dc2,GigabitEthernet7/0/0,1204877061.0,1319551600.0
lax-core2,TenGigE0/3/0/6,lax-dc2,GigabitEthernet7/0/0,1319566047.0,1320248237.0
lax-core2,TenGigE0/2/0/1,lax-dc2,GigabitEthernet7/0/0,1320248237.0,2.53402329599e+11
fre-agg1,GigabitEthernet0/0/5,fre-coe,GigabitEthernet0/1,1197195108.0,1316239594.0
riv-coe,POS0/1/0,tus-dc1,POS4/1:4,1087747044.0,1200225795.0
frg-dc1,GigabitEthernet0/0.27,frg-dc3,FastEthernet0/0.27,1087745987.0,1213149607.0
sol-agg2,GigabitEthernet0/0/8,sol-dc2,GigabitEthernet1/2,1205211594.0,1237577312.0
sol-agg2,GigabitEthernet0/0/8,sol-dc2,GigabitEthernet1/2,1250805929.0,1250849128.0
sac-dc1,Serial5/1:1,yol-coe,Serial1/0/0,1087747044.0,1098914602.0
cos-cc,Serial2/0,fre-agg1,Serial3/1:5,1265450806.0,1290053463.0
sol-agg1,POS6/0,svl-agg2,POS7/0,1209579027.0,1224166213.0
men-coe,Serial0/1/1,son-coe,Serial1/0/0,1087747044.0,1194775548.0
men-coe,Serial2/1,son-coe,Serial1/0/0,1194775548.0,1197713135.0
men-coe,Serial2/1,son-coe,Serial2/0,1197713135.0,1226571963.0
men-coe,GigabitEthernet0/2,son-coe,GigabitEthernet0/2,1226571963.0,2.53402329599e+11
sol-dc1,GigabitEthernet3/1.27,sol-dc3,FastEthernet0/1.27,1087745987.0,1105387389.0
cor-dc2,Serial6/0:5,sha-coe,Serial1/0/0,1098439368.0,1202022685.0
cor-dc2,Serial6/0:5,sha-coe,Serial1/0,1202022685.0,1202082568.0
cor-dc2,Serial6/0:5,sha-coe,Serial1/0/0,1202082568.0,1202418409.0
cor-dc2,Serial6/0:5,sha-coe,Serial1/0,1202418409.0,1213721957.0
cuy-cc,Serial1/0,sdg-agg3,Serial1/1,1302833422.0,2.53402329599e+11
la-usd,GigabitEthernet4/0/0,la-usd-1,GigabitEthernet0/3,1164012496.0,1198491035.0
cor-agg2,Serial3/0:2,sis-coe,Serial1/0,1213721813.0,1287223529.0
ci-csu-1,Serial1/0,lax-agg3,Serial4/0,1303067543.0,2.53402329599e+11
cor-dc1,GigabitEthernet1/1,sac-dc2,GigabitEthernet4/1,1087745987.0,1097820159.0
riv-agg1,GigabitEthernet0/0/1,riv-core1,GigabitEthernet0/1/0/1,1209073515.0,1256853969.0
riv-agg1,GigabitEthernet5/0/0,riv-core1,TenGigE0/2/0/0,1256868752.0,1330015772.0
riv-agg1,GigabitEthernet5/0/0,riv-core1,TenGigE0/2/0/0,1330070847.0,2.53402329599e+11
riv-dc2,GigabitEthernet0/3,sdg-dc1,GigabitEthernet1/0.471,1123265237.0,1123279407.0
riv-dc2,GigabitEthernet1/0,sdg-dc1,GigabitEthernet2/2,1125079375.0,1126807376.0
riv-dc2,GigabitEthernet1/0,sdg-dc1,GigabitEthernet2/2,1126807376.0,1126821774.0
riv-dc2,POS3/0,sdg-dc1,POS5/0,1126821774.0,1207672537.0
imp-coe,POS4/0/0,sdg-agg1,POS3/1:4,1207764287.0,1218003020.0
sa-cc,Serial4/0,tus-agg1,Serial3/0:12,1265490463.0,1265709617.0
lax-agg1,GigabitEthernet4/1/7,mvc-cc-1,GigabitEthernet0/1,1280995924.0,2.53402329599e+11
oak-dc1,GigabitEthernet0/0/0.491,sfo-px1,Vlan491,1100174564.0,1144346595.0
oak-dc1,GigabitEthernet0/0/0.491,sfo-px1,Vlan491,1144346595.0,1158674843.0
oak-dc1,GigabitEthernet0/1/2.495,sfo-px1,Vlan495,1158674843.0,1276868656.0
riv-cc,Serial2/0,tus-dc1,Serial4/0:8,1091002023.0,1213948813.0
mp-cc,GigabitEthernet0/1,sol-agg2,GigabitEthernet0/0/9,1280563814.0,2.53402329599e+11
cccco-colo,GigabitEthernet0/1,sac-agg2,GigabitEthernet2/0/0,1260871949.0,2.53402329599e+11
bak-dc1,POS5/0,fre-dc2,POS4/0,1118167371.0,1155463399.0
bak-dc1,POS5/0,fre-dc2,POS4/0,1155794597.0,1197658933.0
lax-dc1,POS2/0,sdg-dc1,POS5/0,1087745987.0,1126807376.0
lax-core2,TenGigE0/0/0/2,riv-agg1,GigabitEthernet6/0/0,1256868752.0,1326413365.0
lax-core2,TenGigE0/5/0/0,riv-agg1,GigabitEthernet6/0/0,1326427681.0,1326888486.0
lax-core2,TenGigE0/5/0/0,riv-agg1,GigabitEthernet6/0/0,1326888486.0,1326902816.0
lax-core2,TenGigE0/5/0/0,riv-agg1,GigabitEthernet6/0/0,1326902816.0,2.53402329599e+11
da-cc,Serial2/0,svl-dc1,Serial6/0:2,1226103343.0,1281607515.0
sanmateo-cc-1,GigabitEthernet0/1,svl-dc1,GigabitEthernet4/0/9,1208997721.0,1292011530.0
irv-cc,GigabitEthernet2/0,irv-cc-1,GigabitEthernet0/2,1250795545.0,1312013577.0
fre-agg1,Serial3/1:1,mar-coe,Serial1/0/0,1197484323.0,1208977539.0
fre-agg1,Serial3/1:1,mar-coe,Serial1/0,1208977539.0,1290082293.0
sfo-dc1,GigabitEthernet1/3.2020,usf-1,GigabitEthernet0/1.2020,1172829896.0,1237536765.0
sfo-dc1,GigabitEthernet1/3.2020,usf-1,GigabitEthernet0/1.2020,1237536765.0,1237601101.0
sfo-dc1,GigabitEthernet1/3.2021,usf-1,GigabitEthernet0/3.2021,1237601101.0,1279173608.0
fre-dc1,GigabitEthernet1/2,fre-dc2,GigabitEthernet3/2,1117274613.0,1118138578.0
fre-dc1,GigabitEthernet1/2,fre-dc2,GigabitEthernet3/2,1118138578.0,1190902051.0
fre-dc1,GigabitEthernet1/2,fre-dc2,GigabitEthernet3/2,1190974114.0,1198051205.0
fre-agg2,GigabitEthernet0/0/9,wh-cc-1,GigabitEthernet0/1,1272442042.0,2.53402329599e+11
cor-dc1,Serial4/0:4,gle-coe,Serial1/0/0,1087747044.0,1193742652.0
cor-dc1,Serial4/0:4,gle-coe,Serial1/0,1193742652.0,1213721896.0
sol-agg1,GigabitEthernet7/0/0,svl-core1,TenGigE0/5/0/1,1221099076.0,2.53402329599e+11
fre-agg3,Serial2/1,whl-cc,Serial2/0,1290039080.0,2.53402329599e+11
bak-dc1,GigabitEthernet1/2,bak-dc3,GigabitEthernet0/1,1087745987.0,1212027024.0
irv-cc,GigabitEthernet0/3,sad-cc,FastEthernet3/0,1225441269.0,1312013578.0
irv-cc,GigabitEthernet0/3,sad-cc,FastEthernet3/0,1312618776.0,1320393638.0
oak-dc2,Serial5/2:3,per-cc,Serial1/0,1270628040.0,2.53402329599e+11
lax-dc2,POS1/0,tus-agg1,POS6/0,1208801403.0,1239933912.0
ivcc-cc-1,GigabitEthernet0/1.363,riv-agg1,GigabitEthernet7/0/0.363,1345572373.0,2.53402329599e+11
mc-cc,Serial1/0,sdg-agg3,Serial3/0,1302833422.0,2.53402329599e+11
frg-dc1,POS5/0,sac-dc1,POS3/0,1087745987.0,1098900205.0
riv-dc1,GigabitEthernet4/2,sb-css,GigabitEthernet0/1,1198404380.0,1225318211.0
cor-agg4,Serial1/0,sis-coe,Serial1/0,1287223529.0,1307109924.0
col-coe,Serial1/0,sut-coe,Serial4/1,1221073564.0,2.53402329599e+11
bak-dc2,POS4/0,riv-dc1,POS3/0,1124445793.0,1144591397.0
bak-dc2,POS4/0,riv-dc1,POS3/0,1144605785.0,1204139657.0
bu-ele,Serial1/0/1,mam-coe,Serial1/0/0,1087747044.0,1193989918.0
bu-ele,Serial1/0/1,mam-coe,Serial1/1,1193989918.0,1194429956.0
bu-ele,Serial2/1,mam-coe,Serial1/1,1194429956.0,1318924835.0
sfo-sw-1-mgmt,Vlan492,svl-dc1,GigabitEthernet0/1/0.492,1099742583.0,1276868648.0
sac-dc1,GigabitEthernet6/0/0,tri-core1,TenGigE0/0/0/3,1209526182.0,1213438230.0
cit-cc,GigabitEthernet0/1,lax-agg1,GigabitEthernet2/0/8,1262174730.0,2.53402329599e+11
sm-cc,GigabitEthernet0/1,tus-agg2,GigabitEthernet2/0/9,1298714824.0,2.53402329599e+11
cc-coe,POS1/0/0,marin-coe,POS0/1/0,1087747044.0,1200151893.0
cc-coe,POS2/0,marin-coe,POS0/1/0,1200151893.0,1201481464.0
cc-coe,GigabitEthernet0/2,marin-coe,GigabitEthernet0/1,1201514759.0,1317197592.0
berk-cc,Serial2/0,oak-dc2,Serial5/2:9,1261476779.0,2.53402329599e+11
lax-agg3,Serial3/0,sd-ccd-2,Serial1/0,1255082772.0,2.53402329599e+11
yub-cc,FastEthernet0/1,yub-cc-1,GigabitEthernet0/2,1300522388.0,2.53402329599e+11
paix-px1,GigabitEthernet4/0/0.413,svl-dc1,GigabitEthernet0/1/0.413,1087745987.0,1207894201.0
sac-dc1,Serial5/1:6,sut-coe,Serial1/0/0,1087747044.0,1098914602.0
cor-dc1,GigabitEthernet1/2,cor-dc3,GigabitEthernet0/1,1095904969.0,1098338559.0
cor-dc1,GigabitEthernet1/1.27,cor-dc3,GigabitEthernet0/2.27,1098338559.0,1244602914.0
cor-dc1,GigabitEthernet1/1.27,cor-dc3,GigabitEthernet0/2.27,1244613918.0,1278741947.0
oak-core1,TenGigE0/4/0/3,tri-isp1,GigabitEthernet2/0/0,1263614728.0,1336082891.0
oak-core1,TenGigE0/4/0/3,tri-isp1,GigabitEthernet2/0/0,1336169372.0,2.53402329599e+11
fre-dc1,POS6/0,frg-dc1,POS6/0,1087745987.0,1124992988.0
frg-agg1,GigabitEthernet0/0/3,frg-agg3,GigabitEthernet0/1,1200657794.0,2.53402329599e+11
cyp-6509-msfc,Serial6/0/0,lax-dc3,Serial5/0/0,1087747044.0,1183795573.0
cyp-6509-msfc,Serial6/0/0,lax-dc3,Serial5/0/0,1184267164.0,1231236371.0
ohl-cc,FastEthernet0/1,ohl-cc-1,GigabitEthernet0/2,1254557635.0,2.53402329599e+11
pla-coe,GigabitEthernet0/1,sac-agg2,GigabitEthernet0/0/4,1209161421.0,1224900626.0
lak-coe,GigabitEthernet0/2,men-coe,GigabitEthernet0/1,1226744472.0,2.53402329599e+11
oak-core1,TenGigE0/0/0/1,svl-agg1,GigabitEthernet7/0/0,1245305155.0,1300125969.0
oak-core1,TenGigE0/1/0/3,svl-agg1,GigabitEthernet7/0/0,1300140663.0,1300896136.0
oak-core1,TenGigE0/0/0/1,svl-agg1,GigabitEthernet7/0/0,1300896136.0,2.53402329599e+11
frg-agg1,GigabitEthernet0/0/8,frg-dc1,GigabitEthernet3/2,1200657794.0,1213149607.0
cuy-cc,FastEthernet0/1,cuy-cc-1,GigabitEthernet0/2,1264828008.0,2.53402329599e+11
lax-core2,TenGigE0/0/0/1,svl-core1,TenGigE0/5/0/2,1271383824.0,1290499519.0
lax-core2,TenGigE0/0/0/1,svl-core1,TenGigE0/5/0/2,1290499519.0,1308665151.0
lax-core2,TenGigE0/0/0/1,svl-core1,TenGigE0/5/0/2,1308665151.0,1308679566.0
lax-core2,TenGigE0/0/0/1,svl-core1,TenGigE0/5/0/2,1308679566.0,1309428619.0
lax-core2,TenGigE0/7/0/0,svl-core1,TenGigE0/7/0/0,1309428619.0,1314396339.0
lax-core2,TenGigE0/7/0/2,svl-core1,TenGigE0/7/0/2,1314396339.0,2.53402329599e+11
bue-coe,Serial1/0/1,mam-coe,Serial1/0/0,1102022509.0,1103796010.0
sac-dc2,Serial7/0:1,yol-coe,Serial1/0/0,1098999404.0,1198404380.0
sac-dc2,Serial7/0:1,yol-coe,Serial1/0,1198404380.0,1224727823.0
lax-dc1,GigabitEthernet5/0/0.2040,pep-gw,GigabitEthernet0/1.2040,1182303272.0,1218622217.0
lax-dc1,GigabitEthernet5/0/0.2041,pep-gw,GigabitEthernet0/3.2041,1218622217.0,1219219835.0
lax-dc1,GigabitEthernet5/0/0.2040,pep-gw,GigabitEthernet0/1.2040,1219219835.0,1219306252.0
lax-dc1,GigabitEthernet5/0/0.2041,pep-gw,GigabitEthernet0/3.2041,1219306252.0,1219479033.0
lax-dc1,GigabitEthernet5/0/0.2040,pep-gw,GigabitEthernet0/1.2040,1219479033.0,1219738254.0
lax-dc1,GigabitEthernet5/0/0.2041,pep-gw,GigabitEthernet0/3.2041,1219738254.0,1220595022.0
lax-dc1,GigabitEthernet5/0/0.2041,pep-gw,GigabitEthernet0/3.2041,1220595022.0,1333936835.0
lax-core1,GigabitEthernet0/1/0/0,lax-isp2,GigabitEthernet0/0/1,1218103820.0,1218535815.0
lax-core1,GigabitEthernet0/6/0/0,lax-isp2,GigabitEthernet0/0/3,1218535815.0,1218607825.0
lax-core1,GigabitEthernet0/1/0/1,lax-isp2,GigabitEthernet0/0/2,1218607825.0,1218780624.0
lax-core1,GigabitEthernet0/1/0/1,lax-isp2,GigabitEthernet0/0/2,1218780624.0,1242957917.0
lax-core1,GigabitEthernet0/1/0/1,lax-isp2,GigabitEthernet0/0/2,1242957917.0,1245305154.0
lax-core1,GigabitEthernet0/1/0/1,lax-isp2,GigabitEthernet0/0/2,1245305154.0,1245319550.0
lax-core1,TenGigE0/2/0/4,lax-isp2,GigabitEthernet1/0/0,1245319550.0,2.53402329599e+11
lax-agg3,GigabitEthernet0/2,lax-dc2,GigabitEthernet2/0/3,1207120512.0,1298088349.0
sac-dc1,Serial5/0:9,yub-coe,Serial1/0/1,1087747044.0,1195560870.0
sac-dc1,Serial5/0:9,yub-coe,Serial1/1,1195560870.0,1221246338.0
sac-dc1,Serial5/0:9,yub-coe,Serial1/1,1221246338.0,1221775814.0
sac-dc1,GigabitEthernet4/0/6,yub-coe,GigabitEthernet0/1,1221775814.0,2.53402329599e+11
sis-coe,Serial1/0/1,tbj-usd,Serial1/0/0,1087747044.0,1195254648.0
sis-coe,Serial1/1,tbj-usd,Serial1/0/0,1195254648.0,1195553510.0
sis-coe,Serial1/1,tbj-usd,Serial1/0,1195553510.0,2.53402329599e+11
sdg-agg1,GigabitEthernet0/0/4.10,sdg-ts-mgmt,FastEthernet0/0.10,1217951084.0,2.53402329599e+11
riv-cc-2,Serial2/0,tus-agg1,Serial3/0:8,1216313288.0,2.53402329599e+11
ed-coe,GigabitEthernet0/2,sac-coe-1,GigabitEthernet1/1,1298714824.0,2.53402329599e+11
sdg-agg2,POS7/0,tus-dc2,POS6/0,1207672417.0,1208801403.0
lax-hpr,GigabitEthernet4/0,slo-hpr,GigabitEthernet5/0,1116583369.0,1270620690.0
tus-agg2,GigabitEthernet0/0/1,ven-coe,GigabitEthernet0/2,1264846029.0,2.53402329599e+11
merritt-cc,FastEthernet0/1,merritt-cc-1,GigabitEthernet0/2,1261649558.0,2.53402329599e+11
slo-coe,GigabitEthernet1/0/0,slo-dc1,GigabitEthernet0/2,1087747044.0,1113328972.0
slo-coe,GigabitEthernet1/0/0,slo-dc1,GigabitEthernet4/1.122,1113328972.0,1197195108.0
slo-coe,GigabitEthernet0/3,slo-dc1,GigabitEthernet4/1.122,1197195108.0,1209400879.0
cor-agg3,Serial1/0,las-coe,Serial1/0,1284777954.0,1312005932.0
pep-gw-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/4,1313014903.0,1343931113.0
pep-gw-1,GigabitEthernet0/1,riv-agg1,GigabitEthernet4/0/9,1343931113.0,2.53402329599e+11
dp-hs,Serial1/0/1,mad-coe,Serial0/1/1,1087747044.0,1195031178.0
dp-hs,Serial1/1,mad-coe,Serial0/1/1,1195031178.0,1197799541.0
dp-hs,Serial1/1,mad-coe,Serial1/1,1197799541.0,2.53402329599e+11
cc-cc-1,GigabitEthernet0/1,svl-agg1,GigabitEthernet0/0/4,1255759754.0,2.53402329599e+11
riv-agg1,GigabitEthernet2/0/6,riv-cc-1,GigabitEthernet0/1,1214035601.0,2.53402329599e+11
oak-dc2,GigabitEthernet6/0/0,svl-core1,TenGigE0/0/0/3,1242885922.0,1314295555.0
oak-dc2,GigabitEthernet6/0/0,svl-core1,TenGigE0/5/0/0,1314295555.0,2.53402329599e+11
riv-agg1,GigabitEthernet2/0/2,riv-agg2,GigabitEthernet0/0/5,1211341753.0,2.53402329599e+11
sd-coe,POS0/1/0,sdg-dc1,POS3/1:7,1087747044.0,1166155317.0
sd-coe,POS0/1/0,sdg-dc1,POS3/1:7,1167940923.0,1201176211.0
sd-coe,GigabitEthernet0/1,sdg-dc1,GigabitEthernet2/2,1201208742.0,1215022309.0
riv-dc2,POS3/0,sdg-agg1,POS7/0,1207672338.0,1225390224.0
lax-dc2,Serial8/1:9,moo-cc,Serial1/0,1100812075.0,1198094220.0
lax-dc2,Serial3/1:9,moo-cc,Serial1/0,1198094220.0,1312711597.0
