#router1, port on router1, router2, port on router2, link created on, link
destroyed on
la-usd,POS0/1/0,svl-dc1,GigabitEthernet2/3/0,1183096990.0,1199008800.0
gc-cc-1,Serial1/0,lax-agg3,Serial3/1,1272438374.0,1276301984.0
gc-cc-1,Serial1/0,lax-agg3,Serial3/1,1276721551.0,2.53402329599e+11
sac-dc1,GigabitEthernet0/0/2,sac-dc2,GigabitEthernet3/2,1087745987.0,1096380161.0
sac-dc1,GigabitEthernet0/1/0,sac-dc2,GigabitEthernet4/2,1096380161.0,1097085763.0
sac-dc1,GigabitEthernet0/0/2,sac-dc2,GigabitEthernet3/2,1097085763.0,1117735682.0
sac-dc1,GigabitEthernet0/0/2,sac-dc2,GigabitEthernet3/2,1117749770.0,1207879497.0
sac-dc1,GigabitEthernet0/0/2,sac-dc2,GigabitEthernet3/2,1207879497.0,1213740612.0
sac-dc1,GigabitEthernet4/0/8,sac-dc2,GigabitEthernet3/2,1213740612.0,1290672008.0
lax-dc2,Serial8/0:12,vc-cc,Serial2/0,1101211366.0,1198094220.0
lax-dc2,Serial3/0:12,vc-cc,Serial2/0,1198094220.0,1313028338.0
sdg-agg1,GigabitEthernet2/0/4.2010,usd-gw,GigabitEthernet0/1.2010,1207764287.0,1295294731.0
col-coe,Serial1/0/1,yol-coe,Serial1/0/1,1087747044.0,1194516364.0
col-coe,Serial1/1,yol-coe,Serial1/0/1,1194516364.0,1198404380.0
col-coe,Serial1/1,yol-coe,Serial1/1,1198404380.0,1225354873.0
riv-isp1,GigabitEthernet1/0/0.621,tri-isp1,GigabitEthernet1/0/0.621,1264046724.0,1320141980.0
riv-isp1,GigabitEthernet1/0/0.621,tri-isp1,GigabitEthernet1/0/0.621,1320141980.0,1323273990.0
riv-isp1,GigabitEthernet1/0/0.621,tri-isp1,GigabitEthernet1/0/0.621,1323273990.0,2.53402329599e+11
cos-cc,FastEthernet0/1,cos-cc-1,GigabitEthernet0/2,1265450806.0,2.53402329599e+11
fre-coe,GigabitEthernet0/2,mad-coe,GigabitEthernet0/1,1277539667.0,1316246437.0
slo-dc1,POS5/0,sol-agg2,POS7/0,1205949839.0,1209400879.0
cal-coe,Serial1/0/0,tuo-coe,Serial1/0/1,1087747044.0,1194297074.0
cal-coe,Serial1/0/0,tuo-coe,Serial1/1,1194297074.0,1199614329.0
cal-coe,Serial1/0,tuo-coe,Serial1/1,1199614329.0,1235124722.0
cal-coe,GigabitEthernet0/1,tuo-coe,GigabitEthernet0/2,1235124722.0,1235164319.0
cal-coe,GigabitEthernet0/1,tuo-coe,GigabitEthernet0/2,1235164319.0,2.53402329599e+11
scl-coe,GigabitEthernet0/2,tul-coe-2,GigabitEthernet6/0/0,1201514759.0,1221552013.0
scl-coe,GigabitEthernet0/2,sm-coe,GigabitEthernet0/2,1333008825.0,2.53402329599e+11
oak-dc1,GigabitEthernet6/0/0,svl-core1,TenGigE0/0/0/0,1242885922.0,1310148403.0
oak-dc1,GigabitEthernet6/0/0,svl-core1,TenGigE0/5/0/2,1310148403.0,2.53402329599e+11
can-cc,Serial2/0,svl-agg1,Serial3/0:10,1284703575.0,1305353114.0
can-cc,Serial2/0,svl-agg1,Serial3/0:10,1305400012.0,2.53402329599e+11
rh-cc,Serial2/0,tus-agg1,Serial3/0:7,1216313288.0,2.53402329599e+11
fre-agg2,GigabitEthernet0/0/6,sc-cc-1,GigabitEthernet0/1,1215849981.0,2.53402329599e+11
nv-usd,Serial1/0/1,sol-coe,Serial1/0/1,1087747044.0,1197799541.0
nv-usd,Serial1/1,sol-coe,Serial1/0/1,1197799541.0,1198893862.0
nv-usd,Serial1/1,sol-coe,Serial1/1,1198893862.0,1235124722.0
nv-usd,GigabitEthernet0/2,sol-coe,GigabitEthernet0/2,1235124722.0,1235470336.0
nv-usd,GigabitEthernet0/2,sol-coe,GigabitEthernet0/2,1235470336.0,2.53402329599e+11
slo-dc1,POS5/0,sol-dc2,POS6/0,1105401769.0,1206007461.0
mon-coe,Serial1/0/1,sol-dc1,Serial6/0:4,1087747044.0,1185616991.0
frg-agg1,Serial3/1:1,tuo-coe,Serial1/0,1202238549.0,1222913485.0
frg-agg1,GigabitEthernet0/0/8,tuo-coe,GigabitEthernet0/1,1222934813.0,1229079079.0
frg-agg1,GigabitEthernet0/0/9,tuo-coe,GigabitEthernet0/1,1229079079.0,1337753238.0
frg-agg1,GigabitEthernet0/0/5,tuo-coe,GigabitEthernet0/1,1337753238.0,1338919569.0
frg-agg1,GigabitEthernet0/0/9,tuo-coe,GigabitEthernet0/1,1338919569.0,2.53402329599e+11
sky-cc,FastEthernet0/1,sky-cc-1,GigabitEthernet0/2,1258193549.0,2.53402329599e+11
cor-dc1,GigabitEthernet2/3,tri-agg1,GigabitEthernet2/0,1202544202.0,1202789325.0
cor-dc1,GigabitEthernet2/3,tri-agg1,GigabitEthernet2/0,1202803400.0,1209526180.0
lax-dc1,POS1/0,slo-dc2,POS6/0,1113328972.0,1201911346.0
lax-dc1,POS1/0,slo-dc2,POS6/0,1201924996.0,1209400938.0
sc-coe,Serial1/0/0,svl-dc1,Serial6/0:9,1087747044.0,1184314012.0
sc-coe,GigabitEthernet0/1,svl-dc1,GigabitEthernet2/3/0,1184314012.0,1217412618.0
sc-coe,GigabitEthernet0/1,svl-dc1,GigabitEthernet0/2/0,1217412618.0,1294473923.0
riv-core1,TenGigE0/5/0/1,tri-core1,TenGigE0/5/0/1,1209526182.0,1265443518.0
riv-core1,TenGigE0/5/0/2,tri-core1,TenGigE0/5/0/2,1265443518.0,1266033946.0
riv-core1,TenGigE0/5/0/2,tri-core1,TenGigE0/5/0/2,1266033946.0,1268690790.0
riv-core1,TenGigE0/5/0/2,tri-core1,TenGigE0/5/0/2,1268690790.0,1309903886.0
riv-core1,TenGigE0/5/0/3,tri-core1,TenGigE0/5/0/3,1309903886.0,1329250940.0
riv-core1,TenGigE0/5/0/3,tri-core1,TenGigE0/5/0/3,1329466085.0,2.53402329599e+11
lax-agg1,GigabitEthernet2/0/0.2041,pep-gw,GigabitEthernet0/3.2041,1236153909.0,1237846223.0
lax-agg1,GigabitEthernet4/1/3.2041,pep-gw,GigabitEthernet0/3.2041,1237846223.0,2.53402329599e+11
lax-dc2,POS8/3:10,sb-css,POS0/1/0,1091002023.0,1198094220.0
lax-dc2,POS3/3:10,sb-css,POS0/1/0,1198094220.0,1198368192.0
frg-dc1,GigabitEthernet0/2,frg-dc2,GigabitEthernet1/0,1126644480.0,1213149607.0
nj-usd,Serial1/0/0,sie-coe,Serial1/0/0,1087747044.0,1195077447.0
nj-usd,Serial3/0,sie-coe,Serial1/0/0,1195077447.0,1205556868.0
nj-usd,Serial3/0,sie-coe,Serial1/0,1205556868.0,2.53402329599e+11
cor-agg2,GigabitEthernet0/0/5,sac-dc1,GigabitEthernet3/0/9,1209526180.0,1284631547.0
cor-agg2,GigabitEthernet0/0/4,sac-dc1,GigabitEthernet4/0/4,1284631547.0,1285841132.0
cor-agg2,GigabitEthernet0/0/5,sac-dc1,GigabitEthernet4/0/3,1285841132.0,2.53402329599e+11
col-coe,GigabitEthernet0/1,sac-agg2,GigabitEthernet4/0/0.137,1340791601.0,2.53402329599e+11
but-coe,Serial1/0/0,cor-dc1,Serial4/1:4,1087747043.0,1098828202.0
cor-agg3,Serial2/1,sha-cc,Serial1/0,1284777954.0,2.53402329599e+11
fre-agg1,Serial3/1:2,wh-cc,Serial2/0,1197484323.0,1290039080.0
imp-coe,Serial1/0/1,ind-coe,Serial1/0/1,1087747044.0,1196330749.0
cor-dc1,Serial4/0:5,plu-coe,Serial1/0/1,1087747044.0,1198912829.0
cor-dc1,Serial4/0:5,plu-coe,Serial1/0,1198912829.0,1213721896.0
la-usd-1,GigabitEthernet0/3,la-usd-2,GigabitEthernet4/0/0,1164012693.0,1198491035.0
cor-agg2,GigabitEthernet0/0/3.28,cor-dc3,GigabitEthernet0/2.28,1278741947.0,1284530738.0
cor-agg2,GigabitEthernet0/0/3.28,cor-dc3,GigabitEthernet0/2.28,1284530738.0,1285135207.0
cu-gw,GigabitEthernet0/1.2043,lax-agg1,GigabitEthernet4/1/3.2043,1237846223.0,2.53402329599e+11
sha-coe,Serial1/0,tri-coe,Serial1/0,1219950639.0,2.53402329599e+11
riv-agg1,GigabitEthernet0/0/9,riv-dc1,GigabitEthernet1/2,1208954789.0,1236096302.0
sb-css,Serial4/0/0,vv-cc,Serial1/0/0,1091002023.0,1194034255.0
sb-css,Serial4/0/0,vv-cc,Serial1/0,1194034255.0,1198404380.0
sb-css,Serial3/0,vv-cc,Serial1/0,1198404380.0,1204193428.0
sb-css,Serial3/0,vv-cc,Serial1/0,1205089512.0,1256285600.0
oak-dc2,Serial5/2:5,sol-cc,Serial1/0,1255773964.0,2.53402329599e+11
pom-csu,POS3/0,tus-agg1,POS3/2:10,1216313288.0,1226996132.0
dn-coe,GigabitEthernet0/1,lax-agg1,GigabitEthernet1/0/0.237,1343203975.0,2.53402329599e+11
sdg-dc1,GigabitEthernet1/0.23,sdg-dc3,GigabitEthernet5/0/0.23,1087745987.0,1217743814.0
fre-agg1,POS3/0:7,tul-coe,POS1/0,1197602977.0,1248250076.0
fre-agg1,POS3/0:7,tul-coe,POS1/0,1248250076.0,1248401120.0
fre-agg1,GigabitEthernet0/0/6,tul-coe,GigabitEthernet0/2,1248401120.0,2.53402329599e+11
sm-coe,GigabitEthernet0/1,svl-agg2,GigabitEthernet2/0/6,1253757954.0,2.53402329599e+11
frg-agg2,GigabitEthernet0/0/8,sta-coe,GigabitEthernet0/1,1202619882.0,1283551547.0
lax-isp2,GigabitEthernet0/0/3.602,svl-isp1,GigabitEthernet0/0/5.602,1218780624.0,1248314727.0
lax-isp2,GigabitEthernet0/0/3.602,svl-isp1,GigabitEthernet0/0/5.602,1248314727.0,1263974998.0
lax-isp2,GigabitEthernet0/0/3.602,svl-isp1,GigabitEthernet0/0/5.602,1263974998.0,1264479051.0
lax-isp2,GigabitEthernet1/0/0.622,svl-isp1,GigabitEthernet1/0/0.622,1264479051.0,2.53402329599e+11
lak-coe,Serial1/0/0,oak-dc2,Serial5/2:8,1087747044.0,1197797229.0
lak-coe,Serial1/0,oak-dc2,Serial5/2:8,1197797229.0,1235793904.0
sol-coe,Serial1/0/0,svl-dc1,Serial6/0:10,1087747044.0,1198893862.0
sol-coe,Serial1/0,svl-dc1,Serial6/0:10,1198893862.0,1199534606.0
sd-ccd,GigabitEthernet0/1,sdg-agg1,GigabitEthernet2/0/2,1258416394.0,2.53402329599e+11
sbar-coe,Serial1/0/1,ven-coe,Serial1/0/1,1087747044.0,1169805851.0
sbar-coe,Serial1/0/1,ven-coe,Serial1/0/0,1169805851.0,1201353300.0
sbar-coe,Serial1/1,ven-coe,Serial1/0/0,1201353300.0,1202429491.0
sbar-coe,Serial1/1,ven-coe,Serial1/0,1202429491.0,1229595079.0
sbar-coe,Serial2/0,ven-coe,Serial3/0,1229595079.0,1230199572.0
sbar-coe,Serial2/0,ven-coe,Serial3/0,1230199572.0,2.53402329599e+11
ful-cc-1,Serial1/0,tus-agg1,Serial3/1:3,1322914028.0,1327752453.0
frg-agg2,GigabitEthernet2/0/2,mer-cc-1,GigabitEthernet0/1,1259748907.0,2.53402329599e+11
av-cc,GigabitEthernet0/1,lax-agg1,GigabitEthernet2/0/6,1263038735.0,2.53402329599e+11
lax-dc1,GigabitEthernet0/0/0.27,lax-dc3,GigabitEthernet0/0/0.27,1087745987.0,1095818953.0
lax-dc1,GigabitEthernet0/0/0.27,lax-dc3,GigabitEthernet0/0/0.27,1095832955.0,1211911823.0
svl-agg2,GigabitEthernet4/0/7,svl-dc1,GigabitEthernet0/2/2,1283277931.0,1298030410.0
cor-dc3,Serial2/0,plu-coe,Serial1/0,1284617134.0,1285135207.0
lax-dc1,GigabitEthernet0/1/0.40,lax-dc2,GigabitEthernet0/1/0.40,1087745987.0,1094594549.0
lax-dc1,GigabitEthernet0/2/2,lax-dc2,GigabitEthernet0/2/2,1094594549.0,1095818953.0
lax-dc1,GigabitEthernet0/2/2,lax-dc2,GigabitEthernet0/2/2,1095832955.0,1111233751.0
lax-dc1,GigabitEthernet0/2/2,lax-dc2,GigabitEthernet0/2/2,1111233751.0,1118872971.0
lax-dc1,GigabitEthernet0/2/2,lax-dc2,GigabitEthernet0/2/2,1118872971.0,1139428993.0
lax-dc1,GigabitEthernet0/2/2,lax-dc2,GigabitEthernet0/2/2,1139428993.0,1171108969.0
lax-dc1,GigabitEthernet0/2/2,lax-dc2,GigabitEthernet0/2/2,1171108969.0,1238868349.0
sac-agg2,GigabitEthernet0/0/3,sac-agg3,GigabitEthernet0/2,1207246162.0,2.53402329599e+11
dv-cc-1,GigabitEthernet0/1,svl-agg2,GigabitEthernet0/0/2,1261555077.0,2.53402329599e+11
bak-agg1,GigabitEthernet0/0/9,bak-dc1,GigabitEthernet4/1,1202054605.0,1212213607.0
clear-lake-1,Serial1/0,oak-dc2,Serial5/2:7,1316765560.0,2.53402329599e+11
noc-cc,FastEthernet0/1,noc-cc-1,GigabitEthernet0/2,1276330059.0,1321045993.0
noc-cc,GigabitEthernet0/2,noc-cc-1,GigabitEthernet0/2,1321045993.0,2.53402329599e+11
sac-coe,GigabitEthernet4/0/0,sac-coe-1,GigabitEthernet0/3,1165658944.0,1200736801.0
sdg-agg1,GigabitEthernet0/0/3,sdg-agg3,GigabitEthernet0/1,1209007832.0,2.53402329599e+11
ora-coe,POS1/0/0,riv-coe,POS1/0/0,1087747044.0,1197540000.0
ora-coe,POS3/0,riv-coe,POS1/0/0,1197579935.0,1200285583.0
ora-coe,POS3/0,riv-coe,POS2/0,1200285583.0,1215677130.0
ora-coe,GigabitEthernet0/3,riv-coe,GigabitEthernet0/2,1215677130.0,1273651666.0
las-coe,Serial1/0/1,mod-coe,Serial1/0/0,1087747044.0,1195217087.0
las-coe,Serial1/1,mod-coe,Serial1/0/0,1195217087.0,1200823586.0
las-coe,Serial1/1,mod-coe,Serial1/0,1200823586.0,1311927174.0
las-coe,Serial1/1,mod-coe,Serial1/0,1311927174.0,1312013577.0
las-coe,GigabitEthernet0/2,mod-coe,GigabitEthernet0/2,1312013577.0,2.53402329599e+11
cu-gw,GigabitEthernet0/1.2043,lax-dc1,GigabitEthernet5/0/0.2043,1236460310.0,1333936835.0
fre-dc1,Serial2/0:3,mad-coe,Serial0/1/0,1087747044.0,1197489793.0
lax-dc2,Serial3/0:9,lbc-cc,Serial2/0,1265317601.0,1275444317.0
cor-agg1,Serial3/0:1,tri-coe,Serial1/0,1213721766.0,1219918219.0
nv-usd,Serial1/0/0,son-coe,Serial0/1/1,1087747044.0,1197713135.0
nv-usd,Serial1/0/0,son-coe,Serial1/1,1197713135.0,1197799541.0
nv-usd,Serial1/0,son-coe,Serial1/1,1197799541.0,1231841393.0
nv-usd,Serial1/0,son-coe,Serial1/1,1231841393.0,1240301506.0
nv-usd,GigabitEthernet0/1,son-coe,GigabitEthernet3/0,1240301506.0,2.53402329599e+11
lax-core1,TenGigE0/2/0/7,lax-core2,TenGigE0/2/0/7,1204877061.0,1271383824.0
lax-core1,TenGigE0/2/0/7,lax-core2,TenGigE0/2/0/7,1271383824.0,1292299570.0
lax-core1,TenGigE0/2/0/7,lax-core2,TenGigE0/2/0/7,1292299570.0,1309587085.0
lax-core1,TenGigE0/1/0/1,lax-core2,TenGigE0/1/0/1,1309587085.0,2.53402329599e+11
hum-coe,Serial1/0/1,nhum-usd,Serial2/0,1100081275.0,1109239688.0
lax-isp2,GigabitEthernet0/0/5.601,tri-isp1,GigabitEthernet0/0/9.601,1218708619.0,1248329131.0
lax-isp2,GigabitEthernet0/0/5.601,tri-isp1,GigabitEthernet0/0/9.601,1248329131.0,1264479051.0
ed-coe,Serial1/0/1,sac-coe-2,Serial1/0/1,1166090696.0,1200736813.0
frg-agg1,Serial3/1:2,sjd-cc,Serial2/0,1256637923.0,1265920012.0
frg-agg1,Serial3/1:2,sjd-cc,Serial2/0,1265920036.0,1275684450.0
frg-agg1,Serial3/0:9,sjd-cc,Serial2/0,1275684450.0,1285812360.0
mer-coe,GigabitEthernet0/1,sac-coe-1,GigabitEthernet0/3,1202810764.0,1266487697.0
cor-dc3,Serial4/0,sis-cc,Serial1/0,1284617134.0,1285135207.0
sol-dc1,POS4/0,svl-dc1,POS2/0,1087745987.0,1099072963.0
lax-dc2,GigabitEthernet5/2/1,ora-coe-1,GigabitEthernet0/1,1163233835.0,1251742003.0
lax-dc2,GigabitEthernet4/0/4,ora-coe-1,GigabitEthernet0/1,1251742003.0,1273086001.0
oak-dc2,GigabitEthernet4/0/9,wvm-cc-1,GigabitEthernet0/1,1267086511.0,2.53402329599e+11
cho-usd,GigabitEthernet0/2,mad-coe,GigabitEthernet0/2,1244621195.0,2.53402329599e+11
lan-cc,Serial1/0,oak-dc2,Serial5/1:7,1253873173.0,2.53402329599e+11
ohl-cc,Serial1/0,svl-dc1,Serial6/0:4,1254557635.0,1281665140.0
svl-dc1,GigabitEthernet0/0/0.20,svl-dc2,GigabitEthernet0/1.20,1098972203.0,1099072963.0
svl-dc1,GigabitEthernet0/1/2,svl-dc2,GigabitEthernet1/0,1099072963.0,1216059248.0
svl-dc1,GigabitEthernet0/1/2,svl-dc2,GigabitEthernet1/0,1216059248.0,1283320809.0
lax-dc2,GigabitEthernet4/0/7,sa-cc-1,GigabitEthernet0/1,1216541493.0,2.53402329599e+11
ind-coe-1,GigabitEthernet0/1,pdc-dc1,GigabitEthernet2/3,1187856367.0,1349287586.0
ivcc-cc-1,GigabitEthernet0/1.363,pdc-dc1,GigabitEthernet1/0,1279134721.0,1345572373.0
dp-hs,Serial1/0,fre-agg1,Serial3/1:4,1197484323.0,1246514730.0
sol-dc2,GigabitEthernet0/2.28,sol-dc3,FastEthernet0/1.28,1103371361.0,1333936845.0
lax-dc2,Serial3/0:11,sm-cc,Serial2/0,1298714824.0,1312423543.0
riv-coe,GigabitEthernet0/1,riv-dc1,GigabitEthernet4/3,1200285583.0,1225318211.0
scl-coe,POS0/1/0,svl-dc2,POS5/0:10,1099072963.0,1198152213.0
cor-agg1,GigabitEthernet0/0/4,sha-cc-1,GigabitEthernet0/1,1259921765.0,2.53402329599e+11
cc-coe-1,TenGigabitEthernet2/1,svl-agg1,GigabitEthernet4/0/0.134,1317370409.0,2.53402329599e+11
berk-cc,FastEthernet0/1,berk-cc-1,GigabitEthernet0/2,1261476779.0,1294913222.0
berk-cc,GigabitEthernet0/2,berk-cc-1,GigabitEthernet0/2,1294913222.0,2.53402329599e+11
cor-agg1,GigabitEthernet2/2,teh-coe-1,GigabitEthernet0/1,1279613539.0,1297802833.0
cor-agg1,GigabitEthernet1/0/7,teh-coe-1,GigabitEthernet0/1,1297802833.0,2.53402329599e+11
sol-agg2,GigabitEthernet0/0/3,sol-agg3,GigabitEthernet0/2,1205882483.0,2.53402329599e+11
sdg-agg1,GigabitEthernet0/0/9,sdg-dc1,GigabitEthernet6/1,1204112957.0,1217729548.0
sdg-agg1,GigabitEthernet0/0/9,sdg-dc1,GigabitEthernet6/1,1217729548.0,1222236612.0
col-coe,Serial1/0/0,sac-dc1,Serial5/0:1,1087747043.0,1152871396.0
col-coe,Serial1/0/0,sac-dc1,Serial5/0:1,1152950799.0,1153245832.0
col-coe,Serial1/0/0,sac-dc1,Serial5/0:1,1153296396.0,1194516364.0
col-coe,Serial1/0,sac-dc1,Serial5/0:1,1194516364.0,1209495968.0
col-coe,Serial1/0,sac-dc1,Serial5/0:1,1209542813.0,1221041436.0
lan-cc-1,GigabitEthernet0/1,svl-agg2,GigabitEthernet4/0/3,1253387524.0,2.53402329599e+11
lax-px1,GigabitEthernet0/0/0.632,svl-px1,GigabitEthernet7/0/0.632,1259035569.0,1321877170.0
slo-dc1,GigabitEthernet2/0,svl-agg2,GigabitEthernet4/0/9,1296720327.0,1333936843.0
sdg-agg2,POS7/0,tus-agg2,POS7/0,1208801403.0,1241589917.0
sdg-agg2,GigabitEthernet6/0/0,tus-agg2,GigabitEthernet6/0/0,1241589917.0,1242209194.0
sdg-agg2,GigabitEthernet6/0/0,tus-agg2,GigabitEthernet6/0/0,1242209194.0,1320127653.0
fre-coe,POS0/1/0,fre-dc1,POS2/0:4,1087747044.0,1197195108.0
fre-coe,POS1/0,fre-dc1,POS2/0:4,1197195108.0,1197345799.0
dp-hs,Serial1/0/0,fre-dc1,Serial2/1:4,1087747044.0,1195031178.0
dp-hs,Serial1/0,fre-dc1,Serial2/1:4,1195031178.0,1197489793.0
lax-agg5,GigabitEthernet6/0/0,lax-core1,TenGigE0/2/0/5,1329279977.0,2.53402329599e+11
av-cc,Serial4/0,lax-dc2,Serial3/0:1,1263038735.0,2.53402329599e+11
sac-dc2,GigabitEthernet4/0.28,sac-dc3,GigabitEthernet6/0/0.28,1090476149.0,1290657933.0
ora-coe-1,GigabitEthernet1/1,riv-coe,GigabitEthernet0/2,1273651666.0,1316073636.0
lax-dc2,POS1/0,tus-dc1,POS5/0,1087745987.0,1208801403.0
lax-agg1,GigabitEthernet2/0/9,msa-cc-2,GigabitEthernet0/1,1260958368.0,1321697624.0
lax-agg1,GigabitEthernet2/0/9,msa-cc-2,GigabitEthernet0/1,1321737165.0,2.53402329599e+11
ohl-cc,Serial1/0,svl-agg1,Serial3/0:7,1281665139.0,2.53402329599e+11
tus-agg2,GigabitEthernet2/0/8,vc-cc,GigabitEthernet0/1,1226146536.0,2.53402329599e+11
sol-dc1,GigabitEthernet3/1.20,sol-dc2,GigabitEthernet0/2.20,1103371361.0,1105387389.0
sol-dc1,GigabitEthernet3/1,sol-dc2,GigabitEthernet0/1,1105387389.0,1333936845.0
mon-coe,Serial0/1/0,mp-cc,Serial1/0/1,1087747044.0,1144829619.0
cor-agg1,Serial3/0:2,las-coe,Serial1/0,1213721766.0,1284617134.0
lax-dc2,GigabitEthernet0/1/0.49,lax-dc4,FastEthernet0/1,1127354593.0,1239429899.0
marin-coe,POS1/0/0,sf-coe,POS1/0/0,1091088677.0,1201481464.0
marin-coe,POS3/0,sf-coe,POS1/0/0,1201481464.0,1203156310.0
marin-coe,GigabitEthernet0/2,sf-coe,GigabitEthernet0/2,1203156310.0,2.53402329599e+11
lax-core1,TenGigE0/2/0/1,lax-dc2,GigabitEthernet6/0/0,1204870097.0,2.53402329599e+11
cor-dc3,Serial1/1,gle-coe,Serial1/0,1284617134.0,1285135207.0
pdc-dc1,GigabitEthernet5/1,pdc-dc3,GigabitEthernet0/1,1135152185.0,1349287586.0
frg-agg3,Serial6/0,sjd-cc,Serial2/0,1285812360.0,1317103570.0
sac-agg2,GigabitEthernet0/0/5,sac-coe-1,GigabitEthernet0/1,1209161421.0,1296036001.0
sac-agg2,GigabitEthernet1/0/0.127,sac-coe-1,TenGigabitEthernet2/1,1296335265.0,2.53402329599e+11
mp-cc,Serial1/0,sol-agg1,Serial3/0:5,1205949839.0,1238825098.0
mp-cc,Serial1/0,sol-agg1,Serial3/0:1,1238825098.0,1281405913.0
sb-coe,Serial1/0/0,sol-dc1,Serial6/0:6,1087747044.0,1195380650.0
sb-coe,Serial3/0,sol-dc1,Serial6/0:6,1195380650.0,1206007461.0
sdg-dc1,GigabitEthernet6/2.2010,usd-gw,GigabitEthernet0/1.2010,1162022849.0,1216447828.0
slo-agg2,GigabitEthernet0/0/9,slo-dc2,GigabitEthernet2/1,1204960465.0,1249509984.0
sanmateo-cc-1,GigabitEthernet0/2,svl-agg2,GigabitEthernet0/0/6,1292015713.0,2.53402329599e+11
sac-coe-1,GigabitEthernet0/3,sta-coe,GigabitEthernet0/1,1284797549.0,1296036001.0
tri-agg1,GigabitEthernet0/0/9,tri-dc1,GigabitEthernet1/3,1198088297.0,1199361607.0
slo-agg1,GigabitEthernet0/0/5.122,slo-coe,GigabitEthernet0/3,1209400983.0,1313085969.0
slo-agg1,GigabitEthernet4/0/0.122,slo-coe,GigabitEthernet0/3,1313085969.0,2.53402329599e+11
cor-dc2,GigabitEthernet0/0,sac-dc2,GigabitEthernet4/1,1098439368.0,1203163722.0
sf-coe,GigabitEthernet0/1,svl-agg1,GigabitEthernet2/0/1,1292587520.0,1315937150.0
men-coe,Serial0/1/0,svl-dc1,Serial6/0:8,1087747044.0,1194775548.0
men-coe,Serial2/0,svl-dc1,Serial6/0:8,1194775548.0,1252562734.0
lax-dc2,Serial8/2:1,vc-ccd,Serial1/0,1088669173.0,1158674843.0
sdg-dc2,POS7/0,tus-dc1,POS6/0,1087745987.0,1106856166.0
lax-core1,TenGigE0/2/0/5,slo-dc2,GigabitEthernet2/0,1328328429.0,1333936843.0
cho-usd,GigabitEthernet0/1,frg-agg2,GigabitEthernet2/0/0,1228386382.0,2.53402329599e+11
rh-cc,Serial2/0,tus-dc1,Serial4/0:7,1132740463.0,1216313129.0
svl-dc1,Serial6/0:12,wvm-cc,Serial1/0,1267524759.0,1281161121.0
bak-dc1,GigabitEthernet1/1,bak-dc2,GigabitEthernet1/1,1117255254.0,1118239367.0
bak-dc1,GigabitEthernet1/0,bak-dc2,GigabitEthernet1/0,1118239367.0,1186221785.0
bak-dc1,GigabitEthernet1/0,bak-dc2,GigabitEthernet1/0,1186221785.0,1199995401.0
bak-dc1,GigabitEthernet1/0,bak-dc2,GigabitEthernet1/0,1199995401.0,1202328207.0
bak-dc1,GigabitEthernet1/0,bak-dc2,GigabitEthernet1/0,1202328207.0,1212213607.0
lax-dc2,Serial8/3:4,vc-ccdo,Serial2/0,1154747361.0,1159001608.0
lax-dc2,Serial8/3:4,vc-ccdo,Serial1/0,1159001608.0,1162015399.0
lax-dc2,Serial8/2:1,vc-ccdo,Serial1/0,1162015399.0,1198094220.0
lax-dc2,Serial3/2:1,vc-ccdo,Serial1/0,1198094220.0,1292544337.0
lax-dc2,POS8/2:4,ora-coe,POS0/1/0,1087747044.0,1163232210.0
lax-dc2,GigabitEthernet5/2/1,ora-coe,GigabitEthernet0/1,1197579935.0,1251742003.0
lax-dc2,GigabitEthernet4/0/4,ora-coe,GigabitEthernet0/1,1251742003.0,1274493918.0
ful-cc-1,GigabitEthernet0/1,tus-agg2,GigabitEthernet3/0/0.238,1326542999.0,2.53402329599e+11
slo-dc1,GigabitEthernet0/1,slo-dc2,GigabitEthernet0/1,1111651387.0,1112169774.0
slo-dc1,GigabitEthernet0/1,slo-dc2,GigabitEthernet0/1,1112169774.0,1333936843.0
slo-hpr-mgmt,GigabitEthernet7/0,svl-hpr,GigabitEthernet2/0,1115114562.0,1116583207.0
fulirv-csu-1,GigabitEthernet0/1,tus-agg1,GigabitEthernet2/0/5,1294215007.0,2.53402329599e+11
bu-ele,Serial0/1/0,lax-dc2,Serial8/3:2,1087747043.0,1194429956.0
bu-ele,Serial1/0,lax-dc2,Serial8/3:2,1194429956.0,1198094220.0
bu-ele,Serial1/0,lax-dc2,Serial3/3:2,1198094220.0,1268820319.0
bu-ele,Serial1/0,lax-dc2,Serial3/1:10,1268820319.0,1316484383.0
lax-dc2,Serial8/1:11,oxn-cc,Serial1/0,1100812075.0,1198094220.0
lax-dc2,Serial3/1:11,oxn-cc,Serial1/0,1198094220.0,2.53402329599e+11
sac-agg2,GigabitEthernet1/0/0.28,sac-dc3,GigabitEthernet6/0/0.28,1290657933.0,1299916810.0
frg-agg2,GigabitEthernet0/0/3,frg-agg3,GigabitEthernet0/2,1200657794.0,2.53402329599e+11
fre-agg1,GigabitEthernet4/0/0.135,fre-coe-1,TenGigabitEthernet2/1,1316679172.0,2.53402329599e+11
lax-core1,TenGigE0/5/0/0,slo-agg2,GigabitEthernet7/0/0,1220667022.0,1289318734.0
lax-core1,TenGigE0/0/0/3,slo-agg2,GigabitEthernet7/0/0,1289347532.0,1293149132.0
