Granularity: 50000,,,,,,
Start Time,EndTime,#Failures,Mean Traceroute,StdErr Traceroute,,
1359802654,1359852654,0,15.58833619,20.81607773,0,1.747810539
1352452654,1352502654,7,16.36697248,21.08929343,0.07,1.835113551
1351802654,1351852654,0,10.96129032,17.42518899,0,1.229012417
1356152654,1356202654,1,9.07063197,16.23270117,0.01,1.017026189
1357302654,1357352654,31125,15.29811321,20.11571391,311.25,1.715269876
1358452654,1358502654,10,16.17304189,19.53533816,0.1,1.813369478
1359602654,1359652654,7,1.314814815,0.490303789,0.07,0.147420941
1354852654,1354902654,13,1.475308642,2.01751778,0.13,0.165415985
1352402654,1352452654,2,24,20.42204465,0.02,2.690951261
1353652654,1353702654,1,15.79835391,20.53002612,0.01,1.771358349
1355952654,1356002654,4,14.98989899,19.34717109,0.04,1.680711983
1357102654,1357152654,5,7.130536131,14.79500089,0.05,0.799496883
1358252654,1358302654,5,15.03141361,20.01236243,0.05,1.685366726
1354702654,1354752654,4,15.76954733,20.56777361,0.04,1.768128469
1357802654,1357852654,15,15.1185567,20.21511545,0.15,1.695137467
1352302654,1352352654,3,15.78181818,20.25356616,0.03,1.769504314
1353452654,1353502654,8,16.42460317,18.63449262,0.08,1.841575276
1352952654,1353002654,11,7.893203884,13.87781584,0.11,0.885009456
1355752654,1355802654,1478,15.75308642,20.55607459,14.78,1.766282824
1356902654,1356952654,0,22.75757576,21.8916482,0,2.551646966
1358052654,1358102654,3,6.628230616,13.25941498,0.03,0.743176897
1359202654,1359252654,0,15.2345679,20.39069319,0,1.708144988
1353952654,1354002654,4,27.05913978,20.68339803,0.04,3.033951097
1356352654,1356402654,6,15.19183673,20.15639366,0.06,1.703353842
1352802654,1352852654,108,15.61666667,20.32247661,1.08,1.750987036
1352102654,1352152654,572,44.70394737,5.671766196,5.72,5.012339314
1353252654,1353302654,0,15.79012346,20.55288234,0,1.770435526
1354402654,1354452654,10,,,0.1,0
1355552654,1355602654,7,15.50727651,20.46101839,0.07,1.738721886
1356702654,1356752654,38,22.43829114,21.66946728,0.38,2.515847827
1357852654,1357902654,8,14.79385965,19.60456797,0.08,1.65873147
1359002654,1359052654,7,8.943899018,16.16411953,0.07,1.002816514
1360152654,1360202654,11,,,0.11,0
1352502654,1352552654,9,15.15151515,19.13747727,0.09,1.698832867
1355852654,1355902654,3,24.47818499,21.67259862,0.03,2.744566782
1355502654,1355552654,4,16.17386091,20.89857287,0.04,1.813461309
1351902654,1351952654,29,43.53947368,5.044818749,0.29,4.881775067
1353052654,1353102654,19,15.69603524,20.22538493,0.19,1.759886076
1354202654,1354252654,87,15.71450617,20.26918325,0.87,1.761957092
1355352654,1355402654,10,,,0.1,0
1356502654,1356552654,5,14.56414763,19.95645121,0.05,1.632975476
1354102654,1354152654,7,15.39450687,19.37562647,0.07,1.726077819
1357652654,1357702654,3,15.22016461,20.35221964,0.03,1.706530048
1358802654,1358852654,30,14.54569892,19.16287175,0.3,1.630906953
1359952654,1360002654,347,8.567092652,16.69897369,3.47,0.960567866
1352352654,1352402654,24,12.43846154,17.59405662,0.24,1.39463724
1356302654,1356352654,11,14.6875,19.22851209,0.11,1.64680611
1352252654,1352302654,20,15.85555556,19.57098823,0.2,1.777771967
1358602654,1358652654,37,15.12041116,20.41565602,0.37,1.695345395
1359752654,1359802654,9,14.38953488,18.9623098,0.09,1.613397377
1353802654,1353852654,0,,,0,0
1352652654,1352702654,2,18.90225564,21.49437112,0.02,2.119377027
1356102654,1356152654,0,15.28395062,20.42414526,0,1.713681924
1357252654,1357302654,1,14.73139159,19.59812301,0.01,1.651727365
1358402654,1358452654,6,13.01289134,18.91207288,0.06,1.459044016
1355252654,1355302654,1,44.01923077,6.577907034,0.01,4.935566856
1352202654,1352252654,165,44.32716049,6.394278159,1.65,4.970092851
1353602654,1353652654,0,15.82921811,20.60099208,0,1.774818934
1355102654,1355152654,0,,,0,0
1357052654,1357102654,4,16.02317073,21.06339328,0.04,1.796565479
1358202654,1358252654,0,,,0,0
1359352654,1359402654,115,12.43891403,19.14299907,1.15,1.394687974
1354952654,1355002654,0,15.72839506,20.52009695,0,1.763514355
1353402654,1353452654,8,16.02861035,19.48325625,0.08,1.797175385
1354552654,1354602654,101,15.77160494,20.51626115,1.01,1.768359175
1356852654,1356902654,5,22.80337079,22.23092769,0.05,2.556781641
1358002654,1358052654,1,15.27572016,20.41206441,0.01,1.712759102
1359152654,1359202654,4,,,0.04,0
1360302654,1360352654,1,,,0.01,0
1354802654,1354852654,6,15.77366255,20.52174912,0.06,1.768589881
1353202654,1353252654,0,17.35384615,19.65817956,0,1.945764758
1354352654,1354402654,12,15.92910448,20.28644252,0.12,1.786018491
1359402654,1359452654,175,44.20454545,5.454687498,1.75,4.956344889
1354602654,1354652654,17,15.75514403,20.59455071,0.17,1.766513529
1354652654,1354702654,8,,,0.08,0
1358952654,1359002654,2,14.38748496,19.19571847,0.02,1.613167533
1360102654,1360152654,16,,,0.16,0
1353702654,1353752654,0,14.91919192,15.51582885,0,1.672784096
1357952654,1358002654,127,17.41851852,24.65763404,1.27,1.953016016
1352902654,1352952654,6,16.09302326,20.70549311,0.06,1.804397551
